phylum,class,genus,species,form,sample,img_path
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast1_100x_annot_0_149.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast1_100x_annot_1_149.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast1_100x_annot_2_149.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast1_100x_annot_3_149.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast1_100x_annot_4_149.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinE_0_41.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinE_1_41.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinE_2_41.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinE_3_41.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinE_4_41.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical1_0_246.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical1_1_246.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical1_2_246.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical1_3_246.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical1_4_246.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehisto_troph_tric5_0_21.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehisto_troph_tric5_1_21.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehisto_troph_tric5_2_21.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehisto_troph_tric5_3_21.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehisto_troph_tric5_4_21.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt3_0_292.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt3_1_292.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt3_2_292.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt3_3_292.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt3_4_292.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,trophozoites,blood,./train/Plasmodium vivax/Pv_rings_thickB_0_128.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,trophozoites,blood,./train/Plasmodium vivax/Pv_rings_thickB_1_128.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,trophozoites,blood,./train/Plasmodium vivax/Pv_rings_thickB_2_128.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,trophozoites,blood,./train/Plasmodium vivax/Pv_rings_thickB_3_128.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,trophozoites,blood,./train/Plasmodium vivax/Pv_rings_thickB_4_128.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinD_0_75.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinD_1_75.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinD_2_75.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinD_3_75.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinD_4_75.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,trophozoites,wet mount,./train/Giardia duodenalis/Giardia_troph_kohn_0_313.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,trophozoites,wet mount,./train/Giardia duodenalis/Giardia_troph_kohn_1_313.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,trophozoites,wet mount,./train/Giardia duodenalis/Giardia_troph_kohn_2_313.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,trophozoites,wet mount,./train/Giardia duodenalis/Giardia_troph_kohn_3_313.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,trophozoites,wet mount,./train/Giardia duodenalis/Giardia_troph_kohn_4_313.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY5_0_59.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY5_1_59.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY5_2_59.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY5_3_59.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY5_4_59.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_4_0_259.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_4_1_259.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_4_2_259.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_4_3_259.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_4_4_259.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_0_219.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_1_219.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_2_219.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_3_219.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_4_219.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt4_0_293.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt4_1_293.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt4_2_293.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt4_3_293.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt4_4_293.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinF_0_71.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinF_1_71.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinF_2_71.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinF_3_71.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinF_4_71.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_MaurersF_0_49.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_MaurersF_1_49.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_MaurersF_2_49.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_MaurersF_3_49.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_MaurersF_4_49.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_0_197.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_1_197.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_2_197.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_3_197.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_4_197.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_SAF_Henry5_0_176.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_SAF_Henry5_1_176.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_SAF_Henry5_2_176.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_SAF_Henry5_3_176.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_SAF_Henry5_4_176.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt5_0_289.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt5_1_289.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt5_2_289.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt5_3_289.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_wtmt5_4_289.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_oocyst4_0_145.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_oocyst4_1_145.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_oocyst4_2_145.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_oocyst4_3_145.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_oocyst4_4_145.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical3_0_248.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical3_1_248.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical3_2_248.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical3_3_248.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_atypical3_4_248.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY2_0_60.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY2_1_60.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY2_2_60.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY2_3_60.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium knowlesi,trophozoites,blood,./train/Plasmodium knowlesi/Pk_rings_thin_NY2_4_60.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC3_400x_0_191.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC3_400x_1_191.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC3_400x_2_191.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC3_400x_3_191.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC3_400x_4_191.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike6_0_185.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike6_1_185.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike6_2_185.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike6_3_185.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike6_4_185.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_rings_thinA_0_100.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_rings_thinA_1_100.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_rings_thinA_2_100.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_rings_thinA_3_100.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_rings_thinA_4_100.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinE_0_116.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinE_1_116.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinE_2_116.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinE_3_116.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinE_4_116.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./CryptoGiardiaDFA_400x1_arrows_0_155.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./CryptoGiardiaDFA_400x1_arrows_1_155.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./CryptoGiardiaDFA_400x1_arrows_2_155.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./CryptoGiardiaDFA_400x1_arrows_3_155.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./CryptoGiardiaDFA_400x1_arrows_4_155.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_2_0_257.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_2_1_257.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_2_2_257.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_2_3_257.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,./train/Dibothriocephalus latus/Diph_egg_2_4_257.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinD_0_107.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinD_1_107.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinD_2_107.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinD_3_107.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinD_4_107.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thickA_0_110.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thickA_1_110.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thickA_2_110.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thickA_3_110.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thickA_4_110.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt5_0_276.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt5_1_276.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt5_2_276.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt5_3_276.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt5_4_276.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric8_0_305.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric8_1_305.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric8_2_305.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric8_3_305.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric8_4_305.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg1_0_240.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg1_1_240.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg1_2_240.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg1_3_240.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg1_4_240.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickD_0_35.jpg
